url,property_id,address
https://immovlan.be/en/real-estate/apartment/for-sale/deurne,deurne,None
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu45346,rbu45346,Vleeshuisstraat 7 305 2000 Antwerp
https://immovlan.be/en/detail/studio/for-sale/2060/antwerp/rbu45914,rbu45914,Dambruggestraat 68 3 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu44081,rbu44081,Bosuil 83 G12 2100 Deurne
https://immovlan.be/en/detail/studio/for-sale/2018/antwerp/rbu31080,rbu31080,Doornelei 2 604 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu43328,rbu43328,Amerikalei 95B 201 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu43782,rbu43782,Pothoekstraat 35 4 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu43102,rbu43102,Constant De Jongstraat 42 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu42653,rbu42653,Wouter Haecklaan 16 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rwc40887,rwc40887,August van de Wielelei 209 1 2100 Deurne
